Character|Sentence
 Subaru Natsuki | So if I can see it, I can evade it! 
 Petelgeuse Romanee-Conti | You can see my Unseen Hand?! 
 Subaru Natsuki | Okay, I'm just about done buying time! 
 Subaru Natsuki | Prepare to be buried alive! 
 Subaru Natsuki | Suffer, as you regret the things you've done! 
 Petelgeuse Romanee-Conti | How... How could this be? 
 Petelgeuse Romanee-Conti | My fingers, so cruelly, so mercilessly, 
 Petelgeuse Romanee-Conti |" so chaotically, so arbitrarily,
so artlessly, so meaninglessly... "
 Petelgeuse Romanee-Conti | My brain... My brain trembles! 
 Mimi Pearlbaton | Yikes, that guy's kinda scary. 
 Tivey |" I think all the Witch's Cult
members are like that. "
 Petelgeuse Romanee-Conti | Yes, of course... 
 Petelgeuse Romanee-Conti | Fine... Fine. 
 Petelgeuse Romanee-Conti |" I understand. Let's do this.
I'm ready to do this. "
 Petelgeuse Romanee-Conti |" The time has come to learn which
of us is worthy of her love! "
 Petelgeuse Romanee-Conti | Her love! Yes, her love! 
 Subaru Natsuki | Sorry to interrupt your fun, but... 
 Petelgeuse Romanee-Conti | —ove? 
 Subaru Natsuki | I have someone else lined up to take you on! 
 Subaru Natsuki | I-It's over... Right? 
 Felix Argyle | He's very much dead! 
 Felix Argyle |" The capital's most powerful
healer guarantees it. "
 Subaru Natsuki | I see... 
 Subaru Natsuki |" Wilhelm-san, I'm sorry to ask
such an unreasonable favor. "
 Wilhelm van Astrea | Was it unreasonable? 
 Subaru Natsuki |" Isn't cutting someone down
without warning, from behind, "
 Subaru Natsuki | the worst thing a knight can do? 
 Wilhelm van Astrea | Chivalry is long dead. 
 Wilhelm van Astrea | You need not concern yourself with that. 
 Tivey |" Hmm... Doesn't look like he's
carrying anything useful. "
 Subaru Natsuki |" You mini guys are ransacking his corpse
like it's the obvious thing to do... "
 Tivey | I'm not mini. I'm Tivey. 
 Tivey |" I think it's our right to search
out the spoils of battle. "
 Tivey | What is this? 
 Subaru Natsuki |" I think it's the book that Betelgeuse
called a ""Gospel."" "
 Tivey | Eep! This is a Gospel?! 
 Tivey | Oh, no! I touched it! 
 Subaru Natsuki | I can't read it... 
 Subaru Natsuki | Felis, can you read this? 
 Felix Argyle | Whoa, nyo way! Don't point that thing at me! 
 Felix Argyle |" And don't do something as stupid
as trying to read a Gospel! "
 Subaru Natsuki | Is it that dangerous? 
 Wilhelm van Astrea |" The Gospel is the proof that one
belongs to the Witch's Cult. "
 Wilhelm van Astrea | They're basically their sacred texts. 
 Subaru Natsuki | Sacred texts? 
 Felix Argyle |" Rumors say one is delivered to anyone
with the potential to join the cult. "
 Felix Argyle | And once a person gets it... Imagine that. 
 Felix Argyle |" They're nyow a devout member
of the Witch's Cult. "
 Subaru Natsuki | How shady can you get? 
 Subaru Natsuki | Well, I guess I'll take this with me. 
 Subaru Natsuki | If I can decipher it, 
 Subaru Natsuki |" maybe I can figure out what
the Witch's Cult really is. "
 Mimi Pearlbaton | Hey, hey, we've killed the enemy here, 
 Mimi Pearlbaton |" so shouldn't we go make sure the
other enemies are dead, too? "
 Subaru Natsuki | You know, as adorable as you look, 
 Subaru Natsuki | you say some pretty disturbing things... 
 Mimi Pearlbaton | Aw, I'm adorable? You're makin' me blush! 
 Wilhelm van Astrea |" Then the subordinates that Betelgeuse
called ""fingers"" number ten, in total? "
 Tivey | I think one of them is pinned under there. 
 Mimi Pearlbaton | Ten minus one is nine! 
 Mimi Pearlbaton | So nine are left! 
 Wilhelm van Astrea | Then, shall we go? 
 Subaru Natsuki | But they really are dead, right? 
 Subaru Natsuki |" They won't come back the second
we look away, right? "
 Mimi Pearlbaton |" Fine... If you're that
worried, we'll make sure. "
 Julius Euclius | We crushed two fingers here. 
 Julius Euclius |" A few of the cultists were skilled,
but they posed no threat. "
 Julius Euclius | Driving them off, we made no error. 
 Subaru Natsuki | I'm glad it went well for you guys, too... 
 Julius Euclius | Given your demeanor, 
 Julius Euclius |" evidently, I can assume your
news is good, as well? "
 Subaru Natsuki | Yep, we took out Betelgeuse! 
 Mimi Pearlbaton | And since this guy is such a worrywart, 
 Mimi Pearlbaton |" we blasted him to bits with one more
""kaboom"" after we killed him! "
 Mimi Pearlbaton | All to bits! 
 EXTRA |" Then, that leaves the simple task of
mopping up the remnants, huh? "
 Ricardo | We'd better hurry 
 Ricardo |" and take care of 'em before
my lady turns into an old granny... "
 Ricardo | Oh, that was my best joke, y'know! 
 Julius Euclius |" We rendezvous soon with the dragon-drawn
carriages you arranged. "
 Julius Euclius |" Let us eliminate the remaining fingers
and greet our victory together. "
 Felix Argyle | Okay, Subaru-kyun , time for the bait. 
 Felix Argyle | Put out that smell! 
 Felix Argyle | Breathe in... 
 Felix Argyle | And out... 
 Felix Argyle | And out... And out... And out... 
 Subaru Natsuki | Hey, hang on! Don't be crazy! 
 Subaru Natsuki | So I guess... 
 Subaru Natsuki | Once this is all done, 
 Subaru Natsuki | we'll go back to being friend and foe. 
 Julius Euclius |" How confident of you to worry
about what is yet to come. "
 Subaru Natsuki | Hey, sue me. 
 Subaru Natsuki |" It's going almost too well, so I
may have lowered my guard. "
 Subaru Natsuki | Get down! 
 Ricardo | What is this? 
 Ricardo | What's goin' on?! 
 Subaru Natsuki | The Unseen Hand... 
 Subaru Natsuki | Betelgeuse should be dead! 
 Subaru Natsuki | So who's— 
 Wilhelm van Astrea | Subaru-dono! 
 Subaru Natsuki | Damn it! 
 EXTRA | Ah! 
 EXTRA | My brain... trembles... 
 Subaru Natsuki | Who are you? 
 Subaru Natsuki | Wh-Who the hell are you? 
 Subaru Natsuki | Are you Betelgeuse's... 
 EXTRA | Finger, yes! 
 Subaru Natsuki | Let me go... 
 EXTRA | I am a finger, 
 EXTRA | one who reciprocates love. 
 EXTRA |" A faithful, diligent
disciple who will carry out "
 EXTRA | the Ordeal, following the guidance of love! 
 Subaru Natsuki | A copy? 
 Subaru Natsuki | A replica of... the original Betelgeuse? 
 Subaru Natsuki |" If so, this couldn't...
possibly get any worse. "
 EXTRA | Sniff, sniff. 
 EXTRA |" The love that hangs from you does not
compare to that of a mere follower. "
 EXTRA | It is equal to that of a Sin Archbishop. 
 EXTRA | It is exceedingly 
 EXTRA |" displeasing, dissatisfying, disagreeable,
discomforting, disproportionate, discordant! "
 EXTRA | But that is the proof that you are Pride! 
 Subaru Natsuki | Don't make me keep saying it... 
 Subaru Natsuki | I'm not even close to Pride. 
 Subaru Natsuki |" I've never gotten a free book,
even as a membership perk! "
 EXTRA | My! Are you being stubborn? 
 EXTRA | Still, soon enough, you will quite readily... 
 EXTRA | The Gospel... 
 EXTRA | The guidance of my love! 
 EXTRA |" The Gospel that allows me,
though inexperienced, to return love! "
 EXTRA | It isn't with me now! 
 EXTRA | Was it you? 
 EXTRA | You? You? You? You? You? You? You? You?! 
 EXTRA | Did you steal it?! 
 Subaru Natsuki | Wha... 
 EXTRA | A spirit? 
 EXTRA | A spirit! 
 EXTRA | Spirit! Spirit! Spirit! 
 Subaru Natsuki | Damn it. 
 EXTRA | Is that all you can do? 
 EXTRA | If so... 
 EXTRA | Be dismayed. Disappointed. Dejected. 
 EXTRA | Are you two slothful?! 
 EXTRA | My life is spilling out... 
 EXTRA | My blood is running dry. 
 EXTRA | My diligent pulse, my life's support, 
 EXTRA | is stopping... disappearing. 
 EXTRA | Ah, my brain... trembl— 
 Felix Argyle | The first Sloth we defeated was a double, 
 Felix Argyle | and this was the real one? 
 Julius Euclius | No, 
 Julius Euclius | this may not be a matter of which is real. 
 Wilhelm van Astrea |" You mean that there may be more
than one Sin Archbishop of Sloth? "
 Julius Euclius | Either that... 
 Julius Euclius |" Or all hundred followers,
including the fingers, "
 Julius Euclius | are the Sin Archbishop of Sloth. 
 Subaru Natsuki | I dragged you all into this. 
 Subaru Natsuki |" If I'd realized it sooner, I could
have avoided this. "
 Subaru Natsuki | I knew what kind of power it was, so I... 
 Wilhelm van Astrea | Subaru-dono... 
 Wilhelm van Astrea |" I am sure that many thoughts are running
through your mind right now. "
 Wilhelm van Astrea | And I am certain none are superficial. 
 Wilhelm van Astrea |" But while this may be inelegant
of me, I must say this. "
 Wilhelm van Astrea | Fight! 
 Wilhelm van Astrea | Even if you have regrets, 
 Wilhelm van Astrea | even if you have remorse, you must fight. 
 Wilhelm van Astrea |" If you have made the decision for
yourself to fight, to struggle, "
 Wilhelm van Astrea | then fight with all you have. 
 Wilhelm van Astrea |" Do not give up for one second,
one moment, or one instant. "
 Wilhelm van Astrea |" Cling greedily to the victory
you have within your sight. "
 Wilhelm van Astrea |" If you can still stand,
if your fingers still move, "
 Wilhelm van Astrea | if all your teeth have not broken. 
 Wilhelm van Astrea | Stand and fight. 
 Wilhelm van Astrea | You must fight. 
 Subaru Natsuki | You're telling me to get stronger? 
 Wilhelm van Astrea | No. 
 Wilhelm van Astrea | I am telling you to be strong. 
 Wilhelm van Astrea | Ready to go? 
 Subaru Natsuki | Yeah, let's go. 
 Subaru Natsuki | Lend me your wisdom and strength! 
 Subaru Natsuki |" We're gonna start evacuating
the mansion and village! "
 Subaru Natsuki | Don't waste a single second! 
 Subaru Natsuki | Right now, 
 Subaru Natsuki |" the Witch's Cult hasn't noticed yet
that the plain is wide open. "
 Subaru Natsuki | We can get Emilia and the others in carriages, 
 Subaru Natsuki | and get them to safety in plain sight. 
 Felix Argyle |" With Emilia-sama and the others safe,
we won't have to worry about them. "
 Felix Argyle |" So we can focus on
subjugating the Witch's Cult. "
 Felix Argyle |" Fighting isn't easy when you know
you have a weak point! "
 Subaru Natsuki | You're making my ears hurt... 
 Subaru Natsuki | But that's exactly right. 
 Felix Argyle | While I'm at it, let me say one more thing. 
 Felix Argyle |" Subaru-kyun , you should really
make up with Julius soon. "
 Subaru Natsuki | Soon? We already reconciled after our fight. 
 Subaru Natsuki | You didn't see? 
 Felix Argyle | That was just for starters, wasn't it? 
 Felix Argyle | You still subconsciously harbor resentment. 
 Felix Argyle | You can rely on Julius. 
 Felix Argyle |" But I admit he is a bit unapproachable
and incomprehensible. "
 Felix Argyle | Go on, hurry up. 
 Subaru Natsuki | Okay, fine! 
 Subaru Natsuki | Uh... 
 Subaru Natsuki |" So, hey, there's something
I wanted to say to you... "
 Subaru Natsuki | What the hell's going on? 
 Subaru Natsuki | Is this the Witch Cult's doing? 
 Subaru Natsuki | Hey! Anyone? 
 Subaru Natsuki | Is anyone there? 
 Subaru Natsuki | Answer me! 
 Subaru Natsuki | Wh-What is that intense smell? 
 Subaru Natsuki | P-Patrasche! 
 Subaru Natsuki | No... 
 Subaru Natsuki | A flower like this couldn't actually exist. 
 Subaru Natsuki | And Patrasche wouldn't just let me die... 
 Subaru Natsuki | Which means... This is an illusion. 
 Subaru Natsuki | It's all make-believe! 
 Subaru Natsuki | A lesser spirit? Did you come to help me? 
 Julius Euclius | Subaru! 
 Subaru Natsuki | It was you? 
 Julius Euclius | That spiteful tone means it's definitely you. 
 Julius Euclius | I cannot imagine my subconscious 
 Julius Euclius | creating such a realistic imitation of you. 
 Julius Euclius | This is a bewitching spell. 
 Julius Euclius | Only you and I have returned to normal. 
 Julius Euclius | How did you make it back? 
 Subaru Natsuki | I burned a flower in my illusion. 
 Julius Euclius | I see. 
 Julius Euclius |" Someone put a suggestion
on the flower's scent. "
 Subaru Natsuki | Hey, is that... 
 Julius Euclius | The glow of my little buds. 
 Julius Euclius |" I will teach everyone how to break
out of the bewitching spell. "
 Julius Euclius | In... Nes. 
 Mimi Pearlbaton | Hi-ho! Hi-ho! No one's here! Where am I?! 
 Wilhelm van Astrea |" I've strayed away... No,
we've been pulled apart! "
 Julius Euclius | Is his affinity too great? 
 Wilhelm van Astrea | This is bad! If I don't do something... 
 Julius Euclius |" I'm sorry. Take a deep breath
and endure it. "
 Ricardo |" No, this is awful! No matter how much
forest I destroy, nothin' changes! "
 Julius Euclius |" I cannot spare the energy to
fine-tune it just for you. "
 Felix Argyle |" For this to happen at a time
like this... Crusch-sama! "
 Julius Euclius | Bringing everyone back is our priority. 
 Wilhelm van Astrea | That will be quite enough. 
 Ram | Kill me. 
 Ram | I won't accept this disgrace. 
 Ram | And? What is the meaning of all this? 
 Ram | Barusu, you'll explain it to me, right? 
 Subaru Natsuki | That's what I'd like to ask you. 
 Subaru Natsuki | You're the one who attacked us first. 
 Subaru Natsuki | What were you thinking? 
 Ram |" You shouldn't have to
ask what I was thinking. "
 Ram | It's rich, coming from an ingrate like you. 
 Subaru Natsuki | Ingrate? 
 Ram | You are, aren't you? 
 Ram | After everything Roswaal-sama did for you... 
 Ram |" Once you're done with him, you'd rush
to wag your tail for another master. "
 Subaru Natsuki |" Hang on! I think you're
mixing up your stories! "
 Ram |" So this is what it means to bite
the hand that feeds you. "
 Subaru Natsuki | Listen to me... The handwritten letter! 
 Subaru Natsuki | I wrote you a letter about this! 
 Subaru Natsuki | Wasn't it delivered to the mansion? 
 Ram | Yes, I did get a letter from the capital, 
 Ram | but... 
 Ram |" It was quite amusing,
sending me a blank letter. "
 Subaru Natsuki | A blank letter? 
 Julius Euclius | To send a blank letter 
 Julius Euclius | is a metaphor that means you have 
 Julius Euclius | no intention of speaking to the recipient. 
 Julius Euclius |" It could easily be interpreted
as a declaration of war. "
 Subaru Natsuki | This is a huge misunderstanding! 
 Subaru Natsuki | Do I even look that clever to you? 
 Ram |" So this is what it means to bite
the hand that feeds you. "
 Subaru Natsuki | You're still saying that? 
 Ram | I can't say it enough. 
 Ram | But I get the gist now. 
 Ram | The blank letter was some kind of mistake, 
 Ram | and you are still Emilia-sama's dog. 
 Ram | Correct? 
 Subaru Natsuki | Not really, but... 
 Subaru Natsuki | Okay, sure. Dogs are like family, anyway. 
 Subaru Natsuki | I'm fine as a dog if I belong to Emilia. 
 Wilhelm van Astrea | Would you not say that standard is a bit low? 
 Subaru Natsuki | In any case, these guys are reinforcements. 
 Subaru Natsuki | They're friends. 
 Subaru Natsuki |" We pulled them together to
wipe out the Witch's Cult. "
 Subaru Natsuki | There's no time. 
 Subaru Natsuki | We need to start by evacuating the villagers. 
 Julius Euclius | Subaru, they seem rather uneasy. 
 Julius Euclius | Remember to be considerate. 
 Subaru Natsuki | Okay, attention! 
 Subaru Natsuki | I haven't seen you guys in a while. 
 Subaru Natsuki | How have you been? 
 Subaru Natsuki | Look, I know this is sudden, 
 Subaru Natsuki | but I need to ask you all a favor! 
 Subaru Natsuki |" It seems mabeasts are up to no
good in the nearby forest again. "
 Subaru Natsuki |" So I've brought some specialists
to exterminate them... "
 Subaru Natsuki | But while they're working, 
 Subaru Natsuki | I'd like you all to leave the village. 
 EXTRA | Don't try to fool us! 
 EXTRA |" You're trying to sound cheerful about this,
but the villagers are frightened! "
 EXTRA |" All along, we've been afraid the
Witch's Cult would try something! "
 EXTRA | The Witch's Cult? No one told me about that. 
 EXTRA | Hey, wait... 
 EXTRA | Seriously? 
 EXTRA | Why lie about that? 
 EXTRA | Maybe he's trying to hide something. 
 EXTRA | You don't deny it, then? 
 EXTRA | Then, it was true! 
 EXTRA |" Why would they bother a
remote village like this? "
 EXTRA | Why else? Because of that half-elf! 
 EXTRA |" Because this domain's lord is endorsing
that half-elf for ruler! "
 Subaru Natsuki | Why do you have to make it about that? 
 Subaru Natsuki | The half-elf thing... 
 Subaru Natsuki | Emilia has nothing to do with it! 
 EXTRA | She has everything to do with it! 
 EXTRA |" If you mess with a half-elf,
the Witch's Cult shows up. "
 EXTRA | Even the village children know that! 
 Subaru Natsuki | You guys seriously believe that? 
 Subaru Natsuki |" That it's the fault of the half-elf
in the mansion?! "
 Emilia | The village, huh? 
 Emilia | But it might cause trouble for you. 
 Subaru Natsuki | Does that mean I'm just being selfish again? 
 Felix Argyle |" ""Lift your head. Don't look down."" "
 Felix Argyle | That's what Crusch-sama would say. 
 Subaru Natsuki | You... 
 Felix Argyle | Do you think what you're doing is wrong? 
 Felix Argyle | If not, there's no reason to look down. 
 Felix Argyle | Or is it harder to lift your head here 
 Felix Argyle | than to throw a tantrum in the castle? 
 Subaru Natsuki | Now, listen... 
 Subaru Natsuki | You're right. 
 Subaru Natsuki | Compared to that, this is nothing! 
 Subaru Natsuki |" I understand your feelings and
concerns very well! "
 Subaru Natsuki | I won't tell you to try to change them now. 
 Subaru Natsuki | Obviously, you'll have your own opinions. 
 Subaru Natsuki | It hurts, but I understand. 
 Subaru Natsuki | But for now, please accept my request. 
 Subaru Natsuki | Please do as I say! 
 Subaru Natsuki | Staying in the village is dangerous. 
 Subaru Natsuki | That's the truth! 
 Ram | The words of my household's employee 
 Ram |" are those of our master,
Roswaal-sama, himself. "
 Subaru Natsuki | Ram... 
 Ram | Follow his instructions immediately. 
 Subaru Natsuki | You saved me back there. Thanks. 
 Subaru Natsuki | But... 
 Ram | What? 
 Subaru Natsuki |" Having you take my side so easily
is kind of a new feeling. "
 Subaru Natsuki | Does that mean you've acknowledged me? 
 EXTRA | Subaru! 
 Subaru Natsuki | Hey, Petra... What's up? 
 EXTRA |" U-Um, will the lady from the
mansion run away with us? "
 Subaru Natsuki | Huh? 
 EXTRA | She came to the village yesterday. 
 EXTRA | She told us 
 EXTRA | we should take refuge in the mansion because 
 EXTRA | it's dangerous here, just like you said. 
 EXTRA |" But no one in the village
would listen to her. "
 Subaru Natsuki | It's okay. 
 Subaru Natsuki | She wouldn't get mad or anything. 
 Subaru Natsuki | Anyway, you should hurry and run. 
 EXTRA | Okay! 
 Subaru Natsuki | What happened to Emilia after that? 
 Ram |" You should know that she isn't
so perceptive as to back down "
 Ram | the moment someone denies her. 
 Subaru Natsuki |" But I also know she's not the kind of girl
who wouldn't be hurt by mean words. "
 Ram |" She tried to convince the villagers
to leave, but they refused. "
 Ram | But she couldn't do nothing, 
 Ram | so she repaired the forest barrier. 
 Ram | She feared there might be a mabeast attack. 
 Subaru Natsuki |" In and of itself, that's not a
bad decision, but still... "
 Subaru Natsuki | Julius... 
 Subaru Natsuki | Come with me. 
 Subaru Natsuki |" I'm going to explain things to Emilia
and the loli in the mansion. "
 Subaru Natsuki | With you there, it'll be more convincing. 
 Subaru Natsuki |" Just take it as a sign of my repentance
for going nuts in the castle. "
 Julius Euclius | I see. Understood. 
 Julius Euclius |" If that will help the discussion
to go more smoothly, "
 Julius Euclius | do not hesitate to use me. 
 Subaru Natsuki | Also... 
 Subaru Natsuki |" You were the one who put a
spirit on me, weren't you? "
 Subaru Natsuki | Explain that. 
 Subaru Natsuki | I get that you're a spirit arts user. 
 Julius Euclius |" More precisely, I prefer to
be called a ""spirit knight."" "
 Julius Euclius | I do use the spirit arts, of course. 
 Julius Euclius |" But that has not prevented me
from training with the sword. "
 Subaru Natsuki |" And you were the one who set
the little red one on me? "
 Julius Euclius |" ""Set it on you"" is a harsh way to put it. "
 Julius Euclius |" I was only having her,
Ia, secretly protect you. "
 Subaru Natsuki |" By the way, what was that thing you
did when you broke the illusion? "
 Julius Euclius |" A high class of magic known as ""Nect."" "
 Julius Euclius |" It connects the gates
of all who are in range, "
 Julius Euclius | so they can communicate with each other. 
 Julius Euclius |" However, it appeared to work
a bit too well on you. "
 Subaru Natsuki | I thought I was about to lose myself. 
 Julius Euclius |" For the spirits to mistake
the tuning is unusual. "
 Julius Euclius |" You may have a strong affinity
with spirits, perhaps. "
 Subaru Natsuki |" Sadly, the only spirit I ever made
friends with was a gray cat. "
 Felix Argyle | Well? Did you patch things up with Julius? 
 Felix Argyle | Did it work out? 
 Subaru Natsuki | I'm taking that matter back with me, 
 Subaru Natsuki |" to mull over carefully before I
make an optimistic decision. "
 Subaru Natsuki | Come to the mansion with me. 
 Subaru Natsuki |" I'll need at least one person from
the Crusch camp with me, "
 Subaru Natsuki |" to smooth over the misunderstanding
with the letter. "
 Felix Argyle | I'll do that after I finish my work here. 
 Felix Argyle | Subaru-kyun , come help us, too. 
 Felix Argyle |" It's dangerous work
involving the Witch's Cult. "
 Felix Argyle |" The contract said he'd buy their
cargo at the asking price, "
 Felix Argyle | so we must thoroughly inspect the goods. 
 Subaru Natsuki | Huh? But that shouldn't be our job. 
 Subaru Natsuki | Isn't this more importa— 
 Felix Argyle | Oh, come on! 
 EXTRA |" Hey, hey... No lovers' quarrels
in my carriage! "
 Felix Argyle | Hee-hee! You got in trouble, Subaru-kyun ! 
 Felix Argyle | Really, what a troublemaker! 
 Felix Argyle | There. He lowered his guard. 
 Felix Argyle | This guy's one of the Witch's Cult. 
 Felix Argyle | I touched him earlier to confirm it. 
 Felix Argyle | A weird spell is implanted in him, 
 Felix Argyle |" just like the ""fingers""
of the Sin Archbishops. "
 Subaru Natsuki | One was among the merchants? 
 Felix Argyle |" That's why I stole into his carriage,
to get under his guard. "
 Felix Argyle |" Now, tell us all the details concerning
what you're plotting. "
 Felix Argyle | My hands are the gentlest in the world, 
 Felix Argyle | but they can do some nasty things, too. 
 EXTRA | That's... 
 Felix Argyle | What? 
 EXTRA | ...right. 
 Felix Argyle | Ia! 
 EXTRA | And now, it's the beginning 
 Felix Argyle | Protect him! 
 EXTRA | of the end! 
 Felix Argyle | Thank goodness... You're awake. 
 Subaru Natsuki | Why are... you dressed like that? 
 Felix Argyle | I had no choice. 
 Felix Argyle | I can't reproduce clothes with healing magic. 
 Julius Euclius | Regardless, given the situation, 
 Julius Euclius | I'm glad you and Felis are all right. 
 EXTRA | Run 'em off! Don't back down! 
 Subaru Natsuki | How did they get into the village? 
 Felix Argyle | They stowed away in the carriages. 
 Felix Argyle | There was a finger among the merchants, 
 Felix Argyle | and we didn't take care of him. 
 Felix Argyle | I failed. 
 Julius Euclius | This is not the time for regrets. 
 Julius Euclius |" We had Tivey and Madame Ram evacuate
to the mansion with the injured. "
 Julius Euclius | Felis, join them and heal who you can. 
 Felix Argyle | Got it. 
 Subaru Natsuki |" Okay, let's crush all the
fingers that are left! "
 EXTRA | To think, to think, to think, to think! 
 EXTRA | That you would resist us this much! 
 EXTRA |" Such tenacity, clinging to this
ever-increasing love... "
 EXTRA |" As a diligent disciple, I cannot
begin to express my respect. "
 EXTRA | Ah! My brain trembles! 
 Wilhelm van Astrea | You're mine. 
 EXTRA |" In battle, if one focuses on what
the unseen arm does, "
 EXTRA | one will fail to see what is visible. 
 EXTRA | That is sloth, yes? 
 EXTRA | Yes. 
 Julius Euclius | He self-destructed. 
 Subaru Natsuki | Wilhelm-san! 
 Subaru Natsuki | We can't leave you like this. 
 Subaru Natsuki | We've gotta get you to Felis! 
 EXTRA | Why? 
 EXTRA | Why? Why? Why? Why? Why? Why?! 
 EXTRA | Why are you still alive? 
 EXTRA | After the attack you just endured... Why?! 
 EXTRA | Why do you not bend to my diligence?! 
 Subaru Natsuki | At a time like this... And they keep coming! 
 Subaru Natsuki | Hey, look here! 
 Subaru Natsuki | This is what you're looking for, right? 
 Subaru Natsuki | It's a gift from your precious witch. 
 EXTRA | You thief! 
 EXTRA | You really did have it! 
 Subaru Natsuki | Quit shouting... 
 Subaru Natsuki | If you keep yelling at me like that, 
 Subaru Natsuki | it'll make my brain tremble. 
 EXTRA | You must 
 EXTRA | die! 
 Subaru Natsuki | Julius, we'll handle things here. 
 Subaru Natsuki | You take care of your end! 
 Subaru Natsuki | And take care of Wilhelm-san! 
 Julius Euclius | That is quite a vague order, 
 Julius Euclius | but very well. 
 Subaru Natsuki | Julius... 
 Subaru Natsuki | Actually, it can wait! 
 EXTRA | Wait! Wait! Wait! Wait! Wait! Wait! Wait! 
 EXTRA | Wait, right there... 
 EXTRA | You cowardly, foolish, insolent, little man! 
 EXTRA | No matter where you try to run, it's futile. 
 EXTRA |" What do you expect to find at
wherever you're running to? "
 EXTRA | At long last, it would seem the end has come! 
 Subaru Natsuki | Do you 
 Subaru Natsuki | know what this is? 
 Subaru Natsuki | It's a magic stone for creating barriers. 
 Subaru Natsuki |" They were stashed in trees
throughout the forest. "
 Subaru Natsuki | You didn't notice? 
 EXTRA | What are you talking about? 
 Subaru Natsuki | This area is a mabeast breeding ground, 
 Subaru Natsuki | and we're a prime feast for them. 
 Subaru Natsuki |" At least, if you don't have one
of Emilia's barrier stones! "
 Subaru Natsuki | Only one finger left now. 
 Subaru Natsuki | Once we get rid of that one... 
 Subaru Natsuki | Damn... We have to hurry... 
 EXTRA | Ah! 
 EXTRA | Ah! 
 EXTRA | Ah! My brain trembles! 
 Subaru Natsuki | Sloth! 
 Emilia | That's enough, villain. 
 Subaru Natsuki | Emilia... 
 Emilia | Stand down, villain. 
 Emilia | I won't allow you to do such wicked things! 
 EXTRA | A-Ah... Ah! How grand! 
 EXTRA | What a grand day! What a lucky day! 
 EXTRA | What a grand destiny! 
 Subaru Natsuki | Emilia! 
 Felix Argyle | Wait! 
 Subaru Natsuki | I... I can't wait around now! 
 Subaru Natsuki | You want to make Emilia fight him?! 
 Felix Argyle | Calm down. 
 Felix Argyle | Have a little faith in her. 
 Felix Argyle | The people you want to protect 
 Felix Argyle | are not just those behind you. 
 EXTRA | Oh, my witch! 
 EXTRA | My witch! My love's guide! 
 Puck |" I don't blame you for being charmed
by my beloved daughter, "
 Puck |" but I won't allow any
unwanted pests around her! "
 EXTRA | Naïve! 
 EXTRA |" Naïve! Naïve! Naïve! Naïve!
Naïve, naïve, naïve, naïve, naïve, naïve! "
 EXTRA | This is love's true ending... 
 EXTRA | The fruit of my love. 
 EXTRA | Proof that the witch has returned my love! 
 Puck | That proof doesn't exist. 
 Puck | Your crush is purely one-sided. 
 EXTRA | Yes! 
 EXTRA | Ah, this is true... true diligence. 
 Emilia | Thank you for being defeated. 
 Felix Argyle | See? Didn't I tell you? 
 Julius Euclius | We've now eliminated all the fingers. 
 Julius Euclius | Victory is ours. 
 Subaru Natsuki | It's finally over... 
 Felix Argyle | Go see her. 
 Subaru Natsuki | R-Right... 
 Felix Argyle | Subaru-kyun ? 
 Subaru Natsuki | I have to get away. 
 Subaru Natsuki | From Emilia... From everyone... 
 Felix Argyle | Subaru-kyun , where are you going? 
 Subaru Natsuki | Stay away! 
 Subaru Natsuki | I'm... 
 Julius Euclius | Subaru... 
 Subaru Natsuki | Julius, stay away from— 
 Subaru Natsuki | You're too late. 
 Julius Euclius |" The moment Ia was flung from his
body, I had a bad feeling... "
 Felix Argyle | What do you mean? 
 Julius Euclius | That 
 Julius Euclius | isn't Subaru. 
 Subaru Natsuki | That's right. 
 Subaru Natsuki |" I am a Sin Archbishop of the Witch's
Cult, representing Sloth... "
 Subaru Natsuki | Betelgeuse Romanée-Conti! 
 Subaru Natsuki | Fantastic! 
 Subaru Natsuki | What a fantastic body this is! 
 Subaru Natsuki |" It's been decades since I had
a body that fit me so well! "
 Julius Euclius | You madman! 
 Julius Euclius | Get out of that body right now! 
 Subaru Natsuki | Madman? 
 Subaru Natsuki | That's right. I am driven mad with love. 
 Subaru Natsuki | Generous love, respectful love, pure love, 
 Subaru Natsuki |" tender love, familial love,
erotic love, friendly love! "
 Subaru Natsuki | Love, love, love... Love! Love! Love! Love! 
 Subaru Natsuki | Love! 
 Julius Euclius | Subaru! Wake up! 
 Subaru Natsuki | It's no use. 
 Subaru Natsuki |" This body is already under
my subconscious control. "
 Julius Euclius | Realize what you're about to do, Subaru... 
 Julius Euclius | Remember what you returned here to do! 
 Subaru Natsuki | What? 
 Subaru Natsuki |" Don't ""what"" me... You moron! "
 Subaru Natsuki | I am Betelgeuse Romanée-Conti... 
 Subaru Natsuki | This body has already become my finger. 
 Subaru Natsuki | Shut up! I'm Natsuki Subaru! 
 Subaru Natsuki | Kill me, Julius. 
 Subaru Natsuki | Use your sword... 
 Julius Euclius | What are you saying, Subaru? 
 Subaru Natsuki | If you don't stop me now, we can't win. 
 Subaru Natsuki | Before that happens... 
 Julius Euclius | No, Subaru! I cannot do that! 
 Julius Euclius |" You told me, ""It can wait."" "
 Julius Euclius |" Wasn't there something
you meant to tell me? "
